010000020,011012110,3,7
010030022,000010000,8,1
00320100001,00320001000,7,6
300020101,010100000,7,2
201003001,060003010,7,10
000100040,000300000,5,3
301000120,013043100,7,12
030000100,000030020,4,5
200000001,100010002,3,4
201000021,000001030,6,4
020001200,000100001,5,2
000000000,002203100,0,8
0102000002,0002000010,5,3
000031210,010000200,7,3
011010000,(10)00103000,3,14
101000000,000300010,2,4
001100011,000000000,4,0
000200403,000140100,9,6
000002020,005030000,4,8
000004200,001003001,6,5
000000000,100202000,0,5
010000000,001030010,1,5
212000102,000010001,8,2
120500100,000000001,9,1
001000000,130000200,1,6
000200200,010000010,4,2
